Día,Cuadrilla,Obra,Tiempo
1,1,961.0,5.0
1,1,493.0,3.0
1,2,952.0,5.0
1,2,553.0,3.0
1,3,974.0,5.0
1,3,564.0,3.0
1,4,999.0,5.0
1,4,575.0,3.0
1,5,957.0,5.0
1,5,573.0,3.0
1,6,971.0,5.0
1,6,500.0,3.0
1,7,998.0,5.0
1,7,479.0,3.0
1,8,993.0,5.0
1,8,551.0,3.0
1,9,991.0,5.0
1,9,588.0,3.0
1,10,963.0,5.0
1,10,39.0,3.0
2,1,984.0,5.0
2,1,437.0,3.0
2,2,994.0,5.0
2,2,244.0,3.0
2,3,926.0,5.0
2,3,450.0,3.0
2,4,937.0,5.0
2,4,271.0,3.0
2,5,970.0,5.0
2,5,552.0,3.0
2,6,965.0,5.0
2,6,497.0,3.0
2,7,992.0,5.0
2,7,127.0,3.0
2,8,995.0,5.0
2,8,591.0,3.0
2,9,986.0,5.0
2,9,460.0,3.0
2,10,925.0,5.0
2,10,90.0,3.0
3,1,938.0,5.0
3,1,286.0,3.0
3,2,985.0,5.0
3,2,43.0,3.0
3,3,968.0,5.0
3,3,96.0,3.0
3,4,978.0,5.0
3,4,489.0,3.0
3,5,953.0,5.0
3,5,19.0,3.0
3,6,996.0,5.0
3,6,10.0,3.0
3,7,949.0,5.0
3,7,408.0,3.0
3,8,912.0,5.0
3,8,558.0,3.0
3,9,958.0,5.0
3,9,36.0,3.0
3,10,981.0,5.0
3,10,291.0,3.0
4,1,951.0,5.0
4,1,436.0,3.0
4,2,960.0,5.0
4,2,287.0,3.0
4,3,933.0,5.0
4,3,447.0,3.0
4,4,987.0,5.0
4,4,124.0,3.0
4,5,923.0,5.0
4,5,248.0,3.0
4,6,972.0,5.0
4,6,600.0,3.0
4,7,964.0,5.0
4,7,498.0,3.0
4,8,983.0,5.0
4,8,18.0,3.0
4,9,940.0,5.0
4,9,217.0,3.0
4,10,919.0,5.0
4,10,237.0,3.0
5,1,955.0,5.0
5,1,199.0,3.0
5,2,916.0,5.0
5,2,418.0,3.0
5,3,942.0,5.0
5,3,404.0,3.0
5,4,930.0,5.0
5,4,477.0,3.0
5,5,1000.0,5.0
5,5,427.0,3.0
5,6,956.0,5.0
5,6,480.0,3.0
5,7,910.0,5.0
5,7,584.0,3.0
5,8,962.0,5.0
5,8,133.0,3.0
5,9,959.0,5.0
5,9,194.0,3.0
5,10,990.0,5.0
5,10,189.0,3.0
6,1,841.0,3.5
6,2,823.0,3.5
6,3,850.0,3.5
6,4,846.0,3.5
6,5,815.0,3.5
6,6,607.0,4.0
6,7,839.0,3.5
6,8,725.0,3.5
6,9,827.0,3.5
6,10,618.0,4.0
7,1,975.0,5.0
7,1,592.0,3.0
7,2,969.0,5.0
7,2,170.0,3.0
7,3,973.0,5.0
7,3,463.0,3.0
7,4,966.0,5.0
7,4,598.0,3.0
7,5,988.0,5.0
7,5,290.0,3.0
7,6,943.0,5.0
7,6,216.0,3.0
7,7,945.0,5.0
7,7,192.0,3.0
7,8,946.0,5.0
7,8,423.0,3.0
7,9,879.0,5.0
7,9,29.0,3.0
7,10,989.0,5.0
7,10,596.0,3.0
8,1,920.0,5.0
8,1,415.0,3.0
8,2,866.0,5.0
8,2,172.0,3.0
8,3,855.0,5.0
8,3,87.0,3.0
8,4,976.0,5.0
8,4,184.0,3.0
8,5,941.0,5.0
8,5,130.0,3.0
8,6,889.0,5.0
8,6,22.0,3.0
8,7,905.0,5.0
8,7,580.0,3.0
8,8,929.0,5.0
8,8,595.0,3.0
8,9,950.0,5.0
8,9,5.0,3.0
8,10,909.0,5.0
8,10,68.0,3.0
9,1,917.0,5.0
9,1,169.0,3.0
9,2,967.0,5.0
9,2,46.0,3.0
9,3,903.0,5.0
9,3,148.0,3.0
9,4,922.0,5.0
9,4,196.0,3.0
9,5,921.0,5.0
9,5,181.0,3.0
9,6,997.0,5.0
9,6,247.0,3.0
9,7,979.0,5.0
9,7,561.0,3.0
9,8,977.0,5.0
9,8,223.0,3.0
9,9,900.0,5.0
9,9,295.0,3.0
9,10,980.0,5.0
9,10,134.0,3.0
10,1,954.0,5.0
10,1,225.0,3.0
10,2,894.0,5.0
10,2,220.0,3.0
10,3,913.0,5.0
10,3,587.0,3.0
10,4,944.0,5.0
10,4,89.0,3.0
10,5,906.0,5.0
10,5,251.0,3.0
10,6,893.0,5.0
10,6,175.0,3.0
10,7,760.0,5.0
10,7,491.0,3.0
10,8,931.0,5.0
10,8,206.0,3.0
10,9,924.0,5.0
10,9,403.0,3.0
10,10,935.0,5.0
10,10,300.0,3.0
11,1,982.0,5.0
11,1,113.0,3.0
11,2,911.0,5.0
11,2,176.0,3.0
11,3,928.0,5.0
11,3,173.0,3.0
11,4,892.0,5.0
11,4,83.0,3.0
11,5,934.0,5.0
11,5,282.0,3.0
11,6,877.0,5.0
11,6,462.0,3.0
11,7,774.0,5.0
11,7,226.0,3.0
11,8,948.0,5.0
11,8,448.0,3.0
11,9,915.0,5.0
11,9,222.0,3.0
11,10,914.0,5.0
11,10,166.0,3.0
12,1,652.0,3.5
12,2,808.0,3.5
12,3,687.0,3.5
12,4,515.0,4.0
12,5,615.0,4.0
12,6,814.0,3.5
12,7,705.0,3.5
12,8,845.0,3.5
12,9,627.0,4.0
12,10,720.0,3.5
13,1,901.0,5.0
13,1,209.0,3.0
13,2,882.0,5.0
13,2,118.0,3.0
13,3,947.0,5.0
13,3,402.0,3.0
13,4,918.0,5.0
13,4,79.0,3.0
13,5,865.0,5.0
13,5,213.0,3.0
13,6,799.0,5.0
13,6,147.0,3.0
13,7,908.0,5.0
13,7,574.0,3.0
13,8,907.0,5.0
13,8,499.0,3.0
13,9,939.0,5.0
13,9,267.0,3.0
13,10,778.0,5.0
13,10,594.0,3.0
14,1,761.0,5.0
14,1,272.0,3.0
14,2,852.0,5.0
14,2,64.0,3.0
14,3,867.0,5.0
14,3,85.0,3.0
14,4,885.0,5.0
14,4,253.0,3.0
14,5,891.0,5.0
14,5,430.0,3.0
14,6,772.0,5.0
14,6,110.0,3.0
14,7,876.0,5.0
14,7,11.0,3.0
14,8,780.0,5.0
14,8,76.0,3.0
14,9,856.0,5.0
14,9,405.0,3.0
